names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_VIP (DG) (for_DEGs),mean_expr_Rest (for_DEGs)
Trpm3,7.4398484,1.9712417,1.0080096802153867e-13,1.0031563002736088e-10,1.0,0.6851818734575629,2.5764866,1.41071
Pdzrn4,7.420731,1.6407976,1.164755042720834e-13,1.1177488570681718e-10,0.9701492537313433,0.539075074215816,1.4971198,0.7478113
Limch1,7.381378,1.3334197,1.5665935460514206e-13,1.414585423801973e-10,1.0,0.7295682964340642,1.782758,1.0861335
Ablim1,7.380297,1.3301163,1.5793659365113208e-13,1.414585423801973e-10,0.9701492537313433,0.6116098572910333,1.3057184,0.7275719
Sorcs3,7.345049,1.7129858,2.0568407425175558e-13,1.7618996294678556e-10,0.9701492537313433,0.5824600307593262,1.7709686,0.91127366
Cntn6,7.3423805,1.7012597,2.0982801690722506e-13,1.7618996294678556e-10,0.9104477611940298,0.40695303837762437,1.1758276,0.5241923
Lrrtm4,7.31073,1.5618482,2.6569464665896304e-13,2.163398532038284e-10,1.0,0.9198469187023857,4.08579,3.035508
Negr1,7.297426,1.2144054,2.933249386755099e-13,2.3181297359443975e-10,1.0,0.901284023033728,3.346385,2.5500605
Cntn5,7.1994214,1.7694232,6.046861383468258e-13,4.605798817924674e-10,1.0,0.7654422547301406,2.91692,1.8129712
Syt17,7.196655,1.4142436,6.17077623540336e-13,4.605798817924674e-10,0.9552238805970149,0.4362816982009371,0.8278602,0.39435253
Kcnip4,7.1001167,1.3736693,1.2465171535301118e-12,8.910927869860937e-10,1.0,0.9524303444329196,4.632046,3.6952689
Auts2,7.097131,1.0298774,1.273736046033536e-12,8.910927869860937e-10,1.0,0.9043241889910225,3.3607101,2.6823747
Kcnd3,7.0924363,1.3956068,1.3177116635334358e-12,8.910927869860937e-10,1.0,0.6293858864766265,1.4770368,0.82622105
Glis3,7.091514,1.8751706,1.3265244316875232e-12,8.910927869860937e-10,0.835820895522388,0.3329518223112415,1.1782424,0.47807896
Cntnap5a,7.031396,1.6933463,2.0447703828402697e-12,1.3400726874858061e-09,1.0,0.7037805357845417,2.4276645,1.4338591
Sntg1,6.979472,1.2451383,2.9629103605606893e-12,1.895557175911089e-09,1.0,0.8131192102721843,2.678901,1.9057318
Prr16,6.9500823,1.6871965,3.650735481137587e-12,2.2812851715852783e-09,0.9253731343283582,0.5214778783218283,1.4958564,0.73016036
Cntn4,6.9022098,1.734136,5.1199694555502415e-12,3.1266722561507953e-09,0.9850746268656716,0.6494867484530921,2.2096906,1.2350789
Prkar2b,6.865737,1.3994788,6.6148872802447515e-12,3.9498226937817e-09,0.8507462686567164,0.38667334310955326,0.6309129,0.2876737
Magi3,6.856394,1.3958352,7.0620533558807764e-12,4.05193671087296e-09,0.9253731343283582,0.5516649379448478,1.2153358,0.6424851
Sorbs2,6.85588,1.2775898,7.087496293674325e-12,4.05193671087296e-09,1.0,0.7804642512250081,2.3369868,1.5803577
Rgs6,6.7945676,1.6769762,1.0863805302674982e-11,6.0814676767265995e-09,0.9104477611940298,0.5100683143173933,1.5391012,0.76302123
Itga8,6.79137,1.4093891,1.1107378167543912e-11,6.090923497181733e-09,1.0,0.5411495403984405,1.3124112,0.70416963
Egfem1,6.7597876,1.5747069,1.3819416830459125e-11,7.426554604688733e-09,1.0,0.7715225866447298,2.849427,1.8663439
