names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NP SUB Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Usp53,3.3451807,0.32027814,0.0008222895786935149,0.00962322342312489,0.4959349593495935,0.37941123351995665,0.32749316,0.27028888
Uhrf2,3.344597,0.27144203,0.0008240220767559762,0.009639300479944747,0.7439024390243902,0.5839263138883872,0.62674665,0.54350877
Inpp5b,3.3441324,0.4357685,0.0008254034234226654,0.009651257609820286,0.4878048780487805,0.38103666245259166,0.32589447,0.2506261
Zfp846,3.343481,0.5825478,0.0008273432862952303,0.009669732102110846,0.4105691056910569,0.3021852988983204,0.26093048,0.18156405
Atrnl1,3.3428934,0.57251704,0.0008290975240062986,0.00968602194349967,0.9796747967479674,0.7483474805851544,1.701324,1.3896216
Pacs2,3.3413644,0.3275067,0.000833677088552602,0.00973529046910405,0.4268292682926829,0.3077117572692794,0.27692842,0.22655575
Mtif2,3.337453,0.30503237,0.0008455006640684828,0.009869071608827166,0.5853658536585366,0.4562037204262236,0.40954956,0.3433642
Micu1,3.3372502,0.27183193,0.0008461170637387175,0.009871978073234625,0.6666666666666666,0.5194870868701463,0.517092,0.44523442
Upp2,3.337008,0.3966195,0.0008468548734617966,0.009876297938332671,0.8902439024390244,0.7051110709770634,1.1999714,1.0160904
Ccdc138,3.3360271,0.64707214,0.0008498485020100974,0.009902614591938991,0.3821138211382114,0.2753476611883692,0.25317913,0.16888355
Nemp2,3.3349073,1.1159773,0.0008532783266073275,0.009938269889873815,0.23577235772357724,0.11666967672024563,0.12739508,0.060799196
Vrk1,3.3341966,0.520109,0.000855462069366692,0.009959387263380855,0.3983739837398374,0.2867256637168142,0.2517785,0.18203017
Hibadh,3.331786,0.3259088,0.0008629059210832735,0.010037638004831671,0.532520325203252,0.41390644753476613,0.3859198,0.3189886
Nup153,3.331778,0.27178833,0.000862930546749578,0.010037638004831671,0.5365853658536586,0.41014990066823187,0.3432693,0.29209197
Gm48749,3.3311348,1.9998705,0.0008649273912659783,0.010056511901045796,0.17886178861788618,0.059996387935705255,0.10175376,0.026427818
Tcte2,3.3293993,0.53315705,0.0008703353286940898,0.010115013097755275,0.44715447154471544,0.34506050207693695,0.30774167,0.2223559
Rars2,3.3279934,0.29860142,0.0008747390958328491,0.010154032369509541,0.6219512195121951,0.501499006682319,0.47907332,0.4052485
Rbbp8,3.3279657,0.9667556,0.0008748263839008034,0.010154032369509541,0.2601626016260163,0.14455481307567275,0.14949605,0.07927676
Top3b,3.3256624,0.58497876,0.0008820869434299039,0.01022505443052697,0.3861788617886179,0.2822105833483836,0.2385259,0.1651605
Btbd1,3.3249278,0.25983527,0.0008844145367386916,0.010247614748671257,0.5691056910569106,0.4369875383781831,0.38927218,0.33466235
Cacna2d2,3.3219216,0.5393052,0.000893998237088998,0.010354195099388524,0.2764227642276423,0.14773342965504785,0.15161403,0.10674461
Ranbp17,3.3184268,0.3016939,0.0009052600877432777,0.010480111399251129,0.6422764227642277,0.4954668593100957,0.52061486,0.4409407
Lars,3.316493,0.3069038,0.0009115488729108929,0.010548371324339228,0.5853658536585366,0.45241105291674194,0.40753815,0.34124985
Prpf40a,3.3145988,0.3009219,0.0009177477512827399,0.010610964749125311,0.7845528455284553,0.6427668412497742,0.7779245,0.6705808
Ryk,3.3122756,0.37043166,0.0009254034762878052,0.01069487802488315,0.5487804878048781,0.44027451688640057,0.3920961,0.31580797
A330015K06Rik,3.3109453,0.647702,0.0009298141261612482,0.010741231973324479,0.3780487804878049,0.26917103124435615,0.27075502,0.18105473
Ercc6l2,3.3078556,0.34572303,0.0009401326153364164,0.010843324283897967,0.540650406504065,0.4293299620733249,0.3962797,0.3240119
Wscd1,3.307816,0.36912224,0.0009402659315773079,0.010843324283897967,0.36585365853658536,0.24374209860935525,0.23424178,0.18595198
Tpp2,3.3063943,0.2639831,0.0009450502054749986,0.010893821973879541,0.6788617886178862,0.5469026548672566,0.5539782,0.48019922
Scyl2,3.3040392,0.49768537,0.0009530246352994902,0.010976327454135149,0.4105691056910569,0.29651435795557163,0.24029823,0.17594999
Armc2,3.3035827,0.7041934,0.0009545783072871409,0.01098951118971957,0.33739837398373984,0.2303774607188008,0.19885308,0.12666294
Srbd1,3.30147,0.3300965,0.0009617963063526069,0.011067865846550128,0.532520325203252,0.4129311901751851,0.3693738,0.3041294
Lnpk,3.3012912,0.26070613,0.000962409164332612,0.011070177331171781,0.6951219512195121,0.5567274697489615,0.575217,0.50015527
Neurl1a,3.2973797,0.4222908,0.0009759148822679114,0.01121592510117142,0.4796747967479675,0.3683944374209861,0.31301367,0.24237603
Arih1,3.2949295,0.36312437,0.00098446398682233,0.011299678481809487,0.9227642276422764,0.7522485100234784,1.1879443,1.0198961
