names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SUB-ProS Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Tuba1b,2.4526637,-0.51071507,0.014180289010217676,0.04532766663151903,0.28419452887537994,0.20610127232061012,0.1287546,0.17879643
Sec61a1,2.4492803,-0.4042496,0.014314205132556535,0.0457176621789842,0.5197568389057751,0.3909360906390936,0.25490746,0.32515052
Rrp1,2.4360328,-0.39463127,0.01484933612478404,0.047280680373616206,0.3738601823708207,0.28145051882814504,0.1714437,0.21982092
Bpgm,2.4345136,-0.3672984,0.014911818605443125,0.04745713205356588,0.20972644376899696,0.14354856451435485,0.070356406,0.08986267
Pam16,2.4282067,-0.2506593,0.01517369003193067,0.04819920217023018,0.1641337386018237,0.10314230191031423,0.062690355,0.07415474
Rpl30,2.4241824,-0.38529432,0.015342896790261792,0.04871660569059035,0.5075987841945289,0.3892861071389286,0.29148254,0.36603498
Stmn4,2.4169385,-0.41947168,0.015651658223873894,0.04961775088195983,0.4574468085106383,0.344809885234481,0.21605617,0.27956367
Pcdh11x,-2.418947,-0.7318463,0.01556550454367472,0.04935627886341041,0.4574468085106383,0.4401789315440179,0.37089399,0.557174
Ubb,-2.4192064,-0.9044095,0.015554411641243684,0.0493269256225915,0.5227963525835866,0.4817218494481722,0.36888587,0.6070669
4921539H07Rik,-2.419231,-1.1368034,0.0155533655001863,0.0493269256225915,0.1458966565349544,0.19121475451912148,0.079420894,0.16700786
Tead1,-2.4303057,-0.78303146,0.015086088850205582,0.047943608208755054,0.506079027355623,0.44296557034429657,0.27950823,0.4414137
Rasl10a,-2.432811,-1.8972958,0.01498212246848879,0.04765829652282394,0.07446808510638298,0.1250687493125069,0.023366911,0.08440553
Gas7,-2.4334886,-0.3801894,0.014954107435107616,0.04758044603686698,0.7036474164133738,0.5997140028599715,0.5391574,0.6575266
Wscd1,-2.440253,-1.3641976,0.014676982527868055,0.0467928951736847,0.21732522796352582,0.24548087852454809,0.07771356,0.18899897
Lama2,-2.4625618,-1.636266,0.013794840710509185,0.04417966268073681,0.1884498480243161,0.22333443332233344,0.10115923,0.28587
Fgf13,-2.4699352,-0.46856058,0.013513750256486752,0.043367307941215696,0.756838905775076,0.6364169691636417,0.6986316,0.8750328
Lhfp,-2.5050266,-1.0859474,0.012244216623361167,0.03952451954225307,0.23556231003039513,0.26487735122648776,0.11299856,0.22629638
Hsp90b1,-2.510262,-0.7469005,0.012064162111746473,0.03897607742486807,0.6291793313069909,0.5402779305540278,0.3577783,0.5434113
Rorb,-2.5115488,-1.3565865,0.012020266640533324,0.0388436036838401,0.20820668693009117,0.24298757012429875,0.13837677,0.32211396
Golm1,-2.5345964,-1.299002,0.011257692281222855,0.03650666082506133,0.19300911854103345,0.22982436842298243,0.07146387,0.16744365
Pld1,-2.542085,-1.9959372,0.011019338659713529,0.03577690065085821,0.09422492401215805,0.1454552121145455,0.03915863,0.14780992
Tmem196,-2.5461974,-1.1697412,0.010890359174191882,0.035396631306463755,0.1884498480243161,0.22802771972280278,0.07901843,0.1697268
Kcnv1,-2.5879798,-1.2440205,0.009654066777248976,0.03162701466772495,0.1458966565349544,0.19213141201921313,0.047039904,0.108028516
Lhx2,-2.5890977,-1.0752412,0.009622778300838304,0.03152835665693515,0.19908814589665655,0.2378909544237891,0.07465293,0.15127763
Arsj,-2.6132488,-1.257774,0.008968600417583385,0.029496486318294435,0.12917933130699089,0.17874821251787482,0.04916507,0.113779426
Fhod3,-2.6246467,-0.720433,0.008673894808951836,0.02862182899625885,0.3829787234042553,0.3805961940380596,0.24647509,0.37880492
Trf,-2.6390681,-1.5492373,0.00831342542760277,0.027506679133073076,0.24620060790273557,0.27386059472738605,0.12719844,0.33430865
Etl4,-2.6509554,-0.28434095,0.008026445543236399,0.02665891121715229,0.8282674772036475,0.7098595680709859,1.3959388,1.5477332
Gad1,-2.6633341,-1.0035714,0.007737053066409116,0.0257614146089731,0.22948328267477203,0.26641733582664173,0.13290587,0.2507508
Nhsl1,-2.683177,-1.4651186,0.007292636673093853,0.024381379545356706,0.1717325227963526,0.21710116232171012,0.07587518,0.19690911
Cux1,-2.6852002,-0.63502425,0.007248636046571163,0.024246340168226955,0.5790273556231003,0.5069115975506912,0.37779692,0.5381961
mt-Co1,-2.691747,-0.92979884,0.0071078872085691336,0.02380220953318203,0.5805471124620061,0.5130715359513072,0.36625528,0.61119354
Sptb,-2.6974127,-0.6692894,0.006988059189674398,0.023427217770000133,0.4072948328267477,0.39372272943937225,0.18633246,0.28196126
Notch2,-2.7223418,-1.7000221,0.006482107327722797,0.02185372947251086,0.13677811550151975,0.18545814541854583,0.048715666,0.1503136
Ttll7,-2.735369,-0.33899564,0.006231040182044166,0.02104424958415369,0.8100303951367781,0.662340043266234,0.67109984,0.7928636
Pcp4,-2.752528,-0.96780384,0.0059137079042507175,0.02003547237261591,0.39969604863221886,0.3908994243390899,0.20812437,0.37329927
Tgfbr3,-2.7614648,-0.7376674,0.005754271705067393,0.019522383928681927,0.378419452887538,0.3772228944377223,0.18815267,0.29654068
Ntf3,-2.7619615,-1.6200193,0.005745526471008838,0.01949619823508241,0.11246200607902736,0.16521834781652184,0.035988197,0.106731184
Rreb1,-2.7649753,-0.9870592,0.005692708563114797,0.01934282740147883,0.3723404255319149,0.3744729219374473,0.2008619,0.3652955
Bach2,-2.7652566,-0.37596795,0.005687800736613463,0.019328595648514448,0.7340425531914894,0.6145271880614527,0.62048066,0.74943405
Pdzrn3,-2.7769873,-0.9633882,0.005486531977800998,0.018701397214704152,0.4072948328267477,0.39306273603930625,0.30676693,0.53066254
Ywhah,-2.8303607,-0.6141834,0.004649554397160846,0.016035621441626485,0.6519756838905775,0.5759542404575955,0.42848405,0.5981833
Gab1,-2.8404694,-1.6681436,0.004504720139145836,0.015562076387098047,0.20972644376899696,0.24672753272467277,0.10150828,0.2923266
Il1rapl2,-2.843131,-0.81523716,0.004467269759945686,0.015438654462989141,0.5562310030395137,0.5022549774502255,0.5354798,0.8092663
A830036E02Rik,-2.863446,-1.1096879,0.004190601247278327,0.014531095046376131,0.17477203647416414,0.22351776482235178,0.07280934,0.15098849
Gfra2,-2.876488,-1.0960796,0.004021275796345069,0.013981842733927538,0.16869300911854104,0.21882447842188243,0.06998929,0.14408146
Nrp2,-2.8822029,-0.62550515,0.003949055365186834,0.013746744094127506,0.4574468085106383,0.4427089062442709,0.28504318,0.4113338
Tmem30a,-2.9117947,-0.52812696,0.003593588635227295,0.012574518378507281,0.7021276595744681,0.5916474168591648,0.44603157,0.59364885
Pard3b,-2.9224977,-1.2650394,0.003472362293419098,0.012176272050890165,0.31155015197568386,0.3280533861328053,0.16061912,0.3497777
Orai2,-2.9589565,-1.0964376,0.0030868258097195463,0.010913553882521607,0.22948328267477203,0.2686539801268654,0.08628794,0.17621978
