names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L6 CT CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Swi5,4.8081346,-0.31246734,1.5234510254553418e-06,4.855887195016018e-06,0.3713420787083754,0.2413140311804009,0.13475375,0.16478544
Slc48a1,4.8024,-0.29012546,1.5677488282983275e-06,4.994121045213522e-06,0.3239152371342079,0.20419450631031924,0.11960516,0.14440523
Golm1,4.801652,-0.47014973,1.5736186630065026e-06,5.011631323335869e-06,0.3562058526740666,0.2242761692650334,0.12308201,0.1667311
Tomm20,4.796357,-0.27067617,1.615771960637393e-06,5.14039694320705e-06,0.5580221997981837,0.375463994060876,0.25428694,0.2995822
Polr2m,4.7878666,-0.32230392,1.6856352002218335e-06,5.355050582875463e-06,0.27547931382441976,0.16306607275426874,0.08615691,0.10661046
Slc39a6,4.780931,-0.38152245,1.744853407657841e-06,5.5372872403172534e-06,0.3410696266397578,0.21280623608017818,0.114589214,0.14683801
Ap2s1,4.7709284,-0.43042788,1.833788296596447e-06,5.812656780647225e-06,0.3693239152371342,0.2376391982182628,0.14308491,0.18838918
Crlf3,4.7685857,-0.36429292,1.8552385840919046e-06,5.879261794380172e-06,0.3612512613521695,0.23225686711210097,0.13763718,0.17390771
Cct2,4.7548103,-0.31188542,1.9863295837593597e-06,6.285053687660622e-06,0.32593340060544906,0.20657015590200445,0.12279191,0.15029605
Pros1,4.7440333,-0.44938293,2.095043297772459e-06,6.622801577781879e-06,0.23814328960645811,0.13314773570898292,0.08513908,0.11452976
Tcp1,4.7431307,-0.30501068,2.1044032334620996e-06,6.6516074441979316e-06,0.4692230070635722,0.31328878990348924,0.18951419,0.22935398
Cript,4.7393517,-0.29092187,2.1440280610730945e-06,6.769753727178549e-06,0.25832492431886983,0.15011135857461025,0.079984285,0.097012796
Ssr3,4.723256,-0.3132812,2.3209847109492695e-06,7.313810154005731e-06,0.32996972754793136,0.20883444691907943,0.11376793,0.13951404
Tgfbr1,4.7165327,-0.45676878,2.398978320367118e-06,7.5524953096970665e-06,0.4409687184661958,0.2971417965850037,0.27156526,0.35643697
Pls1,4.7143283,-0.2712024,2.425092884210735e-06,7.632920908837114e-06,0.384460141271443,0.2536748329621381,0.15440536,0.18356615
Tmem59l,4.702691,-0.4603451,2.5675471359147583e-06,8.068061225824998e-06,0.4682139253279516,0.30879732739420934,0.18371761,0.24489014
Cdipt,4.696403,-0.29874134,2.6478273485706927e-06,8.316437271314379e-06,0.32896064581231077,0.2099480326651819,0.123016156,0.14929833
