names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Sncg (for_DEGs),mean_expr_Rest (for_DEGs)
Eps8,20.921963,3.4582705,3.379229021467542e-97,3.631995352273314e-94,0.8671586715867159,0.25379210952981446,1.3360922,0.22723772
Vstm2a,20.578568,2.6093876,4.271100622192489e-94,4.2505360636411913e-91,0.915129151291513,0.4519906323185012,1.4150287,0.41258338
Rasgrf2,20.408287,2.7136784,1.4114749434789788e-92,1.3545118475457198e-89,0.922509225092251,0.4872995856602414,1.7736541,0.5572084
Nhs,20.402308,3.0857503,1.5950978966625297e-92,1.477940706321454e-89,0.8708487084870848,0.2638083228247163,1.2288381,0.2505415
Ubash3b,20.340693,2.8439245,5.613224299276719e-92,5.027577897385515e-89,0.9077490774907749,0.4358493965051342,1.6658345,0.46845844
Dlx1as,20.226027,4.2551546,5.777503795950499e-91,5.00779119345774e-88,0.7785977859778598,0.12613943433615565,1.0244666,0.08939267
Ptprm,20.08907,3.0925698,9.196846252892653e-90,7.7224768379758005e-87,0.9188191881918819,0.3748874076742929,1.9201014,0.5202698
Gm45341,20.084976,4.363193,9.986962961526114e-90,8.131808932612325e-87,0.7785977859778598,0.12920194559538822,1.1420709,0.09862737
Gad1,19.956228,2.9163747,1.323292341770833e-88,1.0457901536288906e-85,0.8671586715867159,0.2593046297964331,1.1138297,0.23981407
Igf1,19.905842,4.65686,3.6216174614476436e-88,2.7803674625456624e-85,0.7490774907749077,0.08038191316879842,0.9726792,0.063172355
Elavl2,19.658428,2.4973648,4.896600916314688e-86,3.5559909897669095e-83,0.933579335793358,0.5378130066654657,1.9025788,0.69814914
Cacna1b,19.373692,1.8456804,1.2868995787380589e-83,8.866408123254267e-81,0.9630996309963099,0.648567825617006,1.7451986,0.8394836
Neto1,19.282103,2.2355042,7.592727463409461e-83,5.100414673545306e-80,0.9630996309963099,0.6878400288236354,2.3443167,1.0991518
Slc35f1,19.223543,2.1072106,2.3515031980533262e-82,1.541094900772997e-79,0.974169741697417,0.6508016573590344,2.1711926,1.0307225
Spock3,19.141064,2.4016573,1.1490041485774554e-81,7.350890826732436e-79,0.9520295202952029,0.5673212033867772,2.0505888,0.8249108
Fstl5,19.122911,2.7381823,1.627650712758934e-81,1.0170924337635478e-78,0.8708487084870848,0.46643847955323364,1.8194121,0.5735641
Rian,19.05593,1.635874,5.866669605528092e-81,3.5826684613759055e-78,0.996309963099631,0.7582777877859845,2.5431666,1.5625925
Usp29,18.859665,2.163044,2.4476267297715825e-79,1.461505116199165e-76,0.933579335793358,0.5547108629075842,1.5843735,0.6235319
Phf20l1,18.791803,1.8237944,8.813177018128019e-79,5.1480449234152146e-76,0.9704797047970479,0.7720050441361916,2.215295,1.1957935
A230057D06Rik,18.784946,1.5799301,1.0028847028216255e-78,5.733513184003634e-76,0.992619926199262,0.7852999459556836,2.5010087,1.557011
A330076H08Rik,18.756016,1.7853243,1.728843020017969e-78,9.677919155808922e-76,0.9630996309963099,0.6532156368221942,1.6874948,0.82338727
Plppr1,18.577438,2.6183598,4.8931632405210964e-77,2.683250944342895e-74,0.8597785977859779,0.45505314357773374,1.4978019,0.4481418
Zfp536,18.441704,2.511316,6.079560823218002e-76,3.203094104311132e-73,0.9298892988929889,0.471914970275626,1.8722799,0.6756049
Peg3,18.237795,1.7714938,2.5868980564366697e-74,1.3115085052161002e-71,0.940959409594096,0.6318501170960187,1.5420647,0.73054034
Maf,18.112091,3.0167265,2.558464519963281e-73,1.2730729935446919e-70,0.7970479704797048,0.22273464240677354,1.1983542,0.25153437
Grik1,18.030596,2.9109616,1.1207849046560565e-72,5.47554370692877e-70,0.9188191881918819,0.4951540263015673,2.2297335,0.74346155
Scn1a,17.65711,1.6539441,8.97181528712428e-70,4.3048692279469536e-67,0.974169741697417,0.6799135290938569,1.7932123,0.95228374
Sntg1,17.638987,1.5219077,1.2365824943214787e-69,5.8292932670909e-67,0.992619926199262,0.8118176905062151,2.850536,1.8983722
Dner,17.633898,2.0764,1.3530879994999918e-69,6.268530094235306e-67,0.9077490774907749,0.540154927040173,1.5252141,0.61662257
Npas1,17.574245,5.232091,3.8802120498776996e-69,1.7671406403426068e-66,0.6457564575645757,0.04291118717348225,0.7309882,0.0282555
Syne1,17.528904,1.5288205,8.621439586481363e-69,3.8609680281459043e-66,0.981549815498155,0.8158890290037831,2.4990268,1.583363
Dcx,17.422424,2.0310392,5.576283385302927e-68,2.4563071239850763e-65,0.8856088560885609,0.4786885245901639,1.2031927,0.4512554
Pde4d,17.29856,1.6385884,4.8230679264809856e-67,2.090255406202324e-64,0.992619926199262,0.8224824355971897,2.8997447,1.8740048
Slc6a1,17.263004,2.2917774,8.934043697975358e-67,3.8104405422952044e-64,0.8413284132841329,0.3076923076923077,1.0081712,0.30414724
Kcnq5,17.107298,2.1077616,1.30933945425301e-65,5.412607867042827e-63,0.985239852398524,0.7792109529814448,3.1313212,1.8053234
Rims2,16.9632,1.4815226,1.5373851631248045e-64,6.259021111085378e-62,0.988929889298893,0.8064132588722752,2.6312432,1.7256933
Cntnap5c,16.822815,2.253806,1.660785402831413e-63,6.562544672658833e-61,0.9261992619926199,0.5030805260313457,1.8362434,0.74459076
Tcf4,16.809992,0.9759251,2.0619949143471045e-63,8.029826572247348e-61,1.0,0.9323365159430733,3.4176476,2.7723994
Rgs12,16.807695,3.9644823,2.1434701492383447e-63,8.227863272862046e-61,0.6678966789667896,0.13983066114213655,0.95614445,0.09766922
Vwc2,16.645237,3.1873887,3.2766978380223664e-62,1.1897955528062295e-59,0.7047970479704797,0.15553954242478832,0.85849863,0.13911012
Pde5a,16.566797,4.181737,1.2110730770499232e-61,4.338871144044191e-59,0.6457564575645757,0.1009908124662223,0.93013114,0.081187166
Kcnc1,16.364182,1.9368542,3.446289119614373e-60,1.2184445874215552e-57,0.8302583025830258,0.3926860025220681,0.8754856,0.31164515
Mtss1,16.34373,1.8970793,4.82099417317491e-60,1.6823391354962314e-57,0.8671586715867159,0.4477751756440281,1.0445843,0.40186498
A530058N18Rik,16.276236,3.5616963,1.455509787779216e-59,5.014044615080453e-57,0.6457564575645757,0.10304449648711944,0.5675919,0.062695846
Gng2,16.232822,1.6847883,2.9554779282453685e-59,9.92671149149413e-57,0.9003690036900369,0.5865609800036029,1.2932758,0.6002817
Myo16,16.194801,2.0893898,5.4874782919906975e-59,1.8203523667381486e-56,0.8339483394833949,0.4809944154206449,1.3491013,0.5131963
Garnl3,15.990239,1.8254148,1.4945567844083682e-57,4.897407414274739e-55,0.9040590405904059,0.516015132408575,1.374915,0.6063412
Slc2a13,15.979236,1.8451437,1.7832009745780752e-57,5.772844600832878e-55,0.9372693726937269,0.6589443343541704,1.8900291,0.9416003
Sorcs3,15.931873,2.012625,3.807790265537431e-57,1.2180395766070331e-54,0.8892988929889298,0.5803999279409116,1.9348568,0.9033547
Gm13629,15.804098,3.1983225,2.9153260906185826e-56,9.215860241755449e-54,0.6678966789667896,0.1715726896054765,0.79638344,0.12455276
Kctd16,15.78564,1.6801924,3.9066801122254284e-56,1.2206104025057822e-53,0.996309963099631,0.8014411817690507,3.0235064,1.9607245
Slc35f4,15.760161,1.7573617,5.848377891819669e-56,1.785749022195392e-53,0.922509225092251,0.5885426049360476,1.6188719,0.7871702
Arnt2,15.743993,1.7210851,7.552433432918463e-56,2.2801560263204393e-53,0.8597785977859779,0.5725094577553594,1.291945,0.588189
Apc,15.733377,1.1749918,8.931758033602612e-56,2.6666259818100246e-53,0.974169741697417,0.8111331291659161,1.9959157,1.3392818
Cntnap3,15.715828,2.7613301,1.1783193845467348e-55,3.479279325579205e-53,0.7121771217712177,0.20457575211673573,0.8881112,0.19143528
Rph3a,15.706016,1.9277046,1.3755646005691636e-55,4.017545741010155e-53,0.8228782287822878,0.41646550171140334,1.006131,0.37572047
Epb41l4a,15.677055,3.4941385,2.170879903256175e-55,6.272208924784238e-53,0.6383763837638377,0.13258872275265718,0.71829766,0.08917217
Abat,15.596635,2.1898222,7.673308061790101e-55,2.193423272556383e-52,0.7564575645756457,0.3373446225905242,0.84094566,0.25386658
Kcnn2,15.585171,1.714981,9.181734152990961e-55,2.5969810177986014e-52,0.940959409594096,0.639344262295082,1.7670009,0.9075902
Unc5d,15.521599,2.098455,2.4779981434256738e-54,6.725637385237157e-52,0.959409594095941,0.6344802738245361,2.3739183,1.1860839
Alk,15.445823,2.6675725,8.049418615169886e-54,2.141464140491236e-51,0.7306273062730627,0.23552513060709782,1.05513,0.25827232
Tenm3,15.298352,1.9971914,7.841710951281222e-53,2.0657526790286905e-50,0.977859778597786,0.7324446045757521,2.6815484,1.4835453
Cracd,15.287272,1.5922366,9.296263195732605e-53,2.4251513793139328e-50,0.8966789667896679,0.5525490902540083,1.229807,0.5893403
Bach2,15.189695,1.5459588,4.1383553814158426e-52,1.0392299915761092e-49,0.922509225092251,0.6128985768330031,1.4326121,0.7382868
Dnm3,15.131511,1.4355209,1.0036511231525446e-51,2.49704682213971e-49,0.977859778597786,0.7242298684921635,1.8791093,1.1154864
Sgcd,15.065399,1.8886507,2.735085306295312e-51,6.742361667904131e-49,0.933579335793358,0.7022158169699153,2.481862,1.3764479
Cit,15.054105,1.6949719,3.244623202052129e-51,7.925729585376426e-49,0.8708487084870848,0.4296883444424428,1.0230649,0.4384465
Sdk1,15.04994,2.06048,3.455478803488462e-51,8.364749139615763e-49,0.8487084870848709,0.45952080706179066,1.4493035,0.57749784
Kcnd3,14.994474,1.524859,7.979179943241655e-51,1.9142907595973505e-48,0.9188191881918819,0.6274545127004143,1.5393134,0.8208288
Cntnap4,14.892703,2.2764943,3.6760357821738985e-50,8.741157651948022e-48,0.7859778597785978,0.3467843631778058,1.2866855,0.4323818
Syt6,14.783296,4.9340434,1.877494935681412e-49,4.348990424289615e-47,0.5535055350553506,0.04867591424968474,0.71263313,0.033433966
Zbtb16,14.728434,1.5950297,4.234046618277601e-49,9.723831848984541e-47,0.915129151291513,0.5748153485858404,1.3568376,0.6701916
Nrxn1,14.726574,0.8983914,4.3521648753927985e-49,9.910395779813941e-47,1.0,0.9663844352368942,4.2253723,3.6152031
Rab3c,14.697452,1.5736765,6.693194472079373e-49,1.4863316980559734e-46,0.9372693726937269,0.6419383894793731,1.6256241,0.8634014
Dpysl5,14.672236,2.3979087,9.709127475022526e-49,2.1383955348676662e-46,0.6715867158671587,0.23296703296703297,0.59644866,0.14389476
Plcb4,14.60542,1.9483198,2.5937933618169706e-48,5.6662786692700815e-46,0.7675276752767528,0.3263916411457395,0.8741436,0.30891064
Zfp608,14.604485,1.444841,2.629644354297403e-48,5.698269661288002e-46,0.9261992619926199,0.655629616285354,1.5023198,0.8253871
Fnbp1l,14.568533,1.5436285,4.4534941648626153e-48,9.573231056788678e-46,0.9114391143911439,0.5204467663484057,1.204901,0.5885907
B830012L14Rik,14.567564,1.4313447,4.517138558569995e-48,9.632977227680617e-46,0.9520295202952029,0.6092956224103765,1.4298974,0.7786157
9530059O14Rik,14.554681,1.663483,5.45396169467606e-48,1.1539208719365807e-45,0.8745387453874539,0.6096198883084128,1.5937097,0.8056139
Ttc28,14.546065,1.6384913,6.186052278490892e-48,1.2985876931488304e-45,0.8450184501845018,0.46146640245000903,1.0541946,0.47032923
Kcnmb2,14.504855,2.7768807,1.1287509970599586e-47,2.3330414839231608e-45,0.6974169741697417,0.25285534137993154,1.2789369,0.3208576
Frem1,14.480399,5.390723,1.6115903019046024e-47,3.305605451311196e-45,0.5498154981549815,0.07418483156188074,1.2205654,0.055383917
Rcan2,14.406977,1.8634887,4.677403711189353e-47,9.521351342398327e-45,0.7822878228782287,0.3624572149162313,0.888953,0.33195496
Galntl6,14.313674,2.0265567,1.7975954053910558e-46,3.551572686974829e-44,0.966789667896679,0.8111691587101423,3.257014,1.9641881
Mirg,14.252637,1.5574734,4.316686723594205e-46,8.405026975577991e-44,0.8376383763837638,0.5000540443163394,0.9870893,0.45230475
Synpr,14.233326,2.0081851,5.690940354363441e-46,1.0922540522981832e-43,0.8413284132841329,0.5423887587822014,1.8802541,0.86749566
Xkr6,14.100783,1.4122365,3.755795315178631e-45,7.0572181901293574e-43,0.915129151291513,0.5807241938389479,1.2595489,0.6669448
Tbc1d9,14.078631,1.744662,5.139546834144181e-45,9.590251627323204e-43,0.7453874538745388,0.3815168438119258,0.7270977,0.27688476
Tcerg1l,14.055092,2.9252434,7.16889897015192e-45,1.32847114019298e-42,0.6125461254612546,0.1627814808142677,0.6222485,0.10762239
Cntnap2,13.942418,1.4643811,3.4988333897424786e-44,6.395486611046285e-42,1.0,0.9132768870473789,3.7484262,2.773998
Robo1,13.880309,1.5462079,8.338354297776822e-44,1.5037018790688806e-41,0.9446494464944649,0.7904882003242659,2.7034614,1.7527076
Asic2,13.71661,1.5184184,8.07538693501905e-43,1.436991039363986e-40,0.985239852398524,0.7889749594667628,2.7619252,1.8207955
Cep170,13.70484,1.2117298,9.4976440609224e-43,1.6789585257696374e-40,0.915129151291513,0.6582237434696451,1.2351329,0.7192877
Elmo1,13.693236,1.6543916,1.1143363173175602e-42,1.944299795215769e-40,0.8782287822878229,0.568654296523149,1.5609363,0.7864042
Rev3l,13.646956,1.1782101,2.1048780875897995e-42,3.648908013776639e-40,0.9630996309963099,0.7394343361556476,1.6126983,1.0205824
Ablim1,13.569396,1.3622493,6.082118390932294e-42,1.04093325582389e-39,0.9114391143911439,0.6095478292199603,1.31583,0.72322404
Fgf12,13.567774,1.2311314,6.218205385578694e-42,1.0574884728512626e-39,1.0,0.8528913709241578,2.9538202,2.168364
Fgf13,13.55712,1.856674,7.190369337060063e-42,1.2151271955144898e-39,0.8597785977859779,0.6356332192397767,1.7820392,0.8605829
Mamld1,13.51627,1.714756,1.2537438819456554e-41,2.092428453905575e-39,0.7601476014760148,0.41815889029003783,0.80245507,0.31847763
Grik2,13.504563,1.134586,1.4698212117441274e-41,2.437907157997821e-39,0.996309963099631,0.915330571068276,3.408855,2.6612027
Lhfpl3,13.456734,1.6041775,2.810697665730881e-41,4.633340262465568e-39,0.8376383763837638,0.47123040893532697,1.329119,0.6490149
Gphn,13.428067,0.90280676,4.140795106258496e-41,6.74322209122217e-39,0.988929889298893,0.8786524950459377,2.5047772,1.9476308
Snhg14,13.378599,1.1650224,8.065265430682525e-41,1.305504109171322e-38,0.996309963099631,0.8138713745271122,2.7168527,1.9882239
Hrh2,13.287206,3.1340628,2.7464407832040734e-40,4.3409919908643207e-38,0.5571955719557196,0.13273284092956225,0.4833526,0.06840021
Ripor2,13.272048,1.4053897,3.3626195719027526e-40,5.283835549533741e-38,0.8782287822878229,0.5834984687443704,1.2081988,0.6345656
Cadps,13.264405,1.1323872,3.723623698940873e-40,5.817079580845423e-38,0.992619926199262,0.8264096559178526,2.7014062,1.9934496
C130071C03Rik,13.196046,1.1011649,9.246260000872012e-40,1.4361098625631847e-37,0.977859778597786,0.7735543145379211,1.9673856,1.3526502
Nek1,13.125958,1.2498697,2.3380538699248314e-39,3.589914713421727e-37,0.8782287822878229,0.5823815528733561,1.0391322,0.5699204
Trpc4,13.115102,1.6456562,2.698202954836102e-39,4.119358715707162e-37,0.8487084870848709,0.5382813907404072,1.4187124,0.6936096
Tmtc2,13.069757,2.0796955,4.9021581085280476e-39,7.400055526749924e-37,0.7749077490774908,0.5154026301567285,1.5208595,0.61301583
Gm16083,13.064748,2.0352197,5.235791806497012e-39,7.859537756456688e-37,0.6678966789667896,0.28178706539362275,0.6327874,0.19506471
Clmp,12.991865,1.8646253,1.3607019148438517e-38,2.020003339881453e-36,0.6863468634686347,0.31338497568005763,0.6711015,0.23318885
Dtnb,12.964009,1.1885695,1.957420188471412e-38,2.8740918286462758e-36,0.933579335793358,0.7239776616825797,1.6504849,1.0462214
Kazn,12.933227,1.4743847,2.9228846680306327e-38,4.268364729890386e-36,0.8413284132841329,0.5707440100882724,1.3059009,0.67725015
Slc8a3,12.891452,1.5468854,5.028833166824727e-38,7.304040388788131e-36,0.7785977859778598,0.4177625653035489,0.8269404,0.3648081
Syn2,12.869145,1.0254416,6.714098657083699e-38,9.596161218927605e-36,0.974169741697417,0.8,2.0789201,1.4899222
Syt1,12.848382,0.87800807,8.782799108244467e-38,1.248644508140364e-35,1.0,0.9501711403350748,3.7196126,3.131136
Frmpd3,12.80623,1.9795767,1.5131044074509267e-37,2.139848180431916e-35,0.6678966789667896,0.29872095117996755,0.6332255,0.2021805
Adam12,12.800118,2.110593,1.6370222177640464e-37,2.3029731409068025e-35,0.6678966789667896,0.2932444604575752,0.8405352,0.2662752
Tbl1x,12.790129,1.3410295,1.8616527059295916e-37,2.60534417751709e-35,0.8376383763837638,0.5468203927220321,1.0245144,0.5335078
4930555F03Rik,12.76494,3.719325,2.573473546779156e-37,3.582861875749011e-35,0.5129151291512916,0.08438119257791389,0.54271394,0.0532708
Clstn3,12.721457,1.379594,4.494067983916498e-37,6.129726229839406e-35,0.7749077490774908,0.4567825617005945,0.77415943,0.37100425
Msi2,12.639606,1.1411899,1.2769149050057505e-36,1.7155351748752258e-34,0.9077490774907749,0.6491803278688525,1.322869,0.8103543
Gm45321,12.569735,4.660282,3.097637535036408e-36,4.140971172459118e-34,0.47232472324723246,0.04002882363538101,0.42116895,0.020500908
Enox1,12.56068,1.1941946,3.4733294132079184e-36,4.6202159075691465e-34,0.9630996309963099,0.7834264096559178,2.2801864,1.5761821
Pitpnc1,12.541547,1.3785003,4.4227739019802204e-36,5.825486997363163e-34,0.8450184501845018,0.5031886146640245,1.1547476,0.60751516
Cadps2,12.534194,2.4559705,4.8526728270029035e-36,6.3605521395886835e-34,0.7380073800738007,0.5467843631778058,2.017005,0.78277653
Cacna2d3,12.47415,1.3489127,1.0330364712576959e-35,1.3474606787715673e-33,0.977859778597786,0.7428571428571429,2.3117526,1.5193907
Kcnc2,12.439361,1.7871987,1.5977855890864805e-35,2.0740337574277162e-33,0.8671586715867159,0.6000360295442263,1.9815099,1.0338603
Gnas,12.424157,1.102519,1.9325166632631738e-35,2.496477054898148e-33,0.915129151291513,0.7085930462979644,1.3792195,0.8687718
Gria4,12.369148,1.3791322,3.8386959050844427e-35,4.923711976096989e-33,0.992619926199262,0.7891551071878941,2.5169058,1.6824859
Tbc1d30,12.368952,1.7871673,3.8480815592868173e-35,4.923711976096989e-33,0.6863468634686347,0.35474689245181046,0.660285,0.23980924
Pag1,12.335887,1.4984471,5.80460013716281e-35,7.391924440074158e-33,0.7380073800738007,0.40446766348405694,0.79498583,0.3575499
Atp11b,12.290543,1.1389327,1.0181973541866243e-34,1.2905171182544618e-32,0.9003690036900369,0.6296523148982165,1.1655465,0.6943951
Scai,12.26529,1.233355,1.3911225598300838e-34,1.754904374771566e-32,0.933579335793358,0.7146099801837507,1.6247416,1.0058059
Map2,12.215612,0.90053517,2.5656358217793784e-34,3.206448117730786e-32,0.992619926199262,0.8377589623491263,2.2593493,1.7217814
Chrm3,12.1916685,1.5579906,3.44298655108067e-34,4.263274130301272e-32,0.8966789667896679,0.6570347685101784,2.1454875,1.2705636
Fchsd2,12.151829,1.0309899,5.609688788760616e-34,6.882755148584373e-32,0.9188191881918819,0.6408575031525852,1.2213296,0.77492815
Dpp6,12.1405945,1.0776967,6.43570160197773e-34,7.824764798422698e-32,0.992619926199262,0.8190596288956945,2.485252,1.8267379
Marchf3,12.133095,2.0971026,7.053268740799592e-34,8.498714397546415e-32,0.6420664206642066,0.31684381192577915,0.8148397,0.2579083
Kctd8,12.119687,2.2848341,8.307525774376073e-34,9.92103189144378e-32,0.6273062730627307,0.2667267159070438,0.9788752,0.29337615
Dlx1,12.114753,3.6355233,8.822926059135552e-34,1.0489912531370454e-31,0.47232472324723246,0.0541524049720771,0.3506305,0.033233237
Brinp3,12.065758,1.6612475,1.601818811817299e-33,1.8877575207688956e-31,0.8634686346863468,0.6277427490542244,1.9743177,1.0854459
Ppm1h,12.002144,1.1658548,3.462121847729957e-33,4.044661480369736e-31,0.8856088560885609,0.6717348225544947,1.3606495,0.8294098
Frmd5,11.914805,1.2671084,9.909771067074359e-33,1.1477394335012414e-30,0.966789667896679,0.7365519726175463,2.073719,1.3582735
Gm14204,11.876564,3.6034386,1.5667555239449052e-32,1.8068120570128585e-30,0.46494464944649444,0.05649432534678436,0.3245654,0.031058474
Mfn1,11.796227,1.2369107,4.08205297490278e-32,4.667436741942029e-30,0.7933579335793358,0.49717168077823815,0.79205906,0.41376758
Cplane1,11.774966,1.0250568,5.253817952768807e-32,5.981783406393977e-30,0.9298892988929889,0.7000900738605657,1.3712248,0.8939541
Htr2c,11.747031,2.2618814,7.314331274768355e-32,8.292661660465219e-30,0.6605166051660517,0.34181228607458114,1.2203733,0.4041256
Frmd3,11.721044,1.586483,9.943944235639025e-32,1.1174301005951509e-29,0.6974169741697417,0.36281751035849397,0.6697453,0.2757949
Lin28b,11.720731,1.832515,9.980767552766513e-32,1.1174301005951509e-29,0.6383763837638377,0.2956224103765087,0.6335575,0.22177427
Cxcl14,11.714291,3.4692233,1.0768836633372873e-31,1.1956968609038394e-29,0.46494464944649444,0.0585480093676815,0.4700919,0.05277193
Scn9a,11.710926,2.2311423,1.1204913181904667e-31,1.2389959555464131e-29,0.5608856088560885,0.19225364799135292,0.4628639,0.11811148
Slco3a1,11.702664,1.1565467,1.2351336993598766e-31,1.3601656763032742e-29,0.8450184501845018,0.5799675734101963,1.0679299,0.61869615
Epb41l4b,11.683746,1.4018863,1.543407836366913e-31,1.6858279903731282e-29,0.7564575645756457,0.46038551612322104,0.8207829,0.39303702
Pde3a,11.624384,3.544543,3.09821878633657e-31,3.356820112454179e-29,0.4981549815498155,0.12268059809043416,0.86679524,0.11172495
Nap1l5,11.614903,1.5406699,3.461791016562096e-31,3.735675687350342e-29,0.6789667896678967,0.35204467663484057,0.672817,0.28509662
Grid2,11.565791,1.2309202,6.142286161546913e-31,6.601729166430622e-29,0.977859778597786,0.8099081246622231,2.5166824,1.7667103
A830018L16Rik,11.558382,1.3276451,6.695876263216181e-31,7.168055585363298e-29,0.9114391143911439,0.6858584038911908,1.8960227,1.1801271
Socs5,11.525109,1.7417028,9.858714881527652e-31,1.0512050351851113e-28,0.6346863468634686,0.317636461898757,0.5720656,0.20767896
Vezt,11.514195,1.0576493,1.1189877588989676e-30,1.183748074079341e-28,0.8856088560885609,0.6313096739326247,1.086369,0.6643842
Kcnq4,11.492847,3.7616832,1.4330859928390603e-30,1.5100792402974725e-28,0.45387453874538747,0.06625833183210232,0.37910122,0.03342078
Fxyd6,11.437495,2.0892842,2.7161387196352135e-30,2.8178628338454897e-28,0.5719557195571956,0.2198522788686723,0.5317093,0.15266116
Amy1,11.375564,1.2018727,5.534397043061946e-30,5.719586482579788e-28,0.7822878228782287,0.5131687984147001,0.8378285,0.45111057
Mast2,11.334052,1.0508109,8.898992914836904e-30,9.12656258097968e-28,0.8966789667896679,0.641650153125563,1.1703339,0.72903043
Gm4221,11.325459,2.2315705,9.816333044750425e-30,1.0029082468153761e-27,0.5461254612546126,0.18396685281931183,0.4971404,0.12850556
Gas7,11.287671,1.2688099,1.5098459390503866e-29,1.5309268068786372e-27,0.8118081180811808,0.598234552332913,1.1620704,0.6479258
Enah,11.239177,0.9899135,2.6181229557088594e-29,2.6249613365633228e-27,0.940959409594096,0.7401909565843993,1.5678619,1.0686691
Tnrc6a,11.207341,0.9483442,3.7529639274106536e-29,3.748778465781571e-27,0.9372693726937269,0.7021437578814628,1.2622943,0.838519
Dzip3,11.204044,0.98256123,3.895342513559237e-29,3.876587160716174e-27,0.9003690036900369,0.6747252747252748,1.2086277,0.7833197
Klf8,11.201257,1.441085,4.019901454245499e-29,3.9857842094308696e-27,0.7047970479704797,0.4075662042875158,0.6970204,0.31564838
Sobp,11.159191,0.99266446,6.457672246729909e-29,6.355957995224639e-27,0.940959409594096,0.7365159430733201,1.6830441,1.1638134
Tmem131l,11.144045,1.4953392,7.65615822691079e-29,7.508064655368355e-27,0.6826568265682657,0.3950999819852279,0.663724,0.28827867
Las1l,11.107916,1.5843832,1.1480717716547995e-28,1.1136710651395112e-26,0.6457564575645757,0.3397946315979103,0.5671921,0.22676803
Samd4,11.091228,1.4154062,1.3837614342258552e-28,1.337470134447796e-26,0.6900369003690037,0.34505494505494505,0.6797029,0.31107387
Cntn6,11.069642,1.4845134,1.7610342889000641e-28,1.696021195080456e-26,0.7453874538745388,0.40486398847054583,1.0683566,0.52045214
