names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_14 (for_DEGs),mean_expr_Rest (for_DEGs)
Kcnc2,23.715075,2.4471734,2.5205824325867357e-124,1.4723489122522954e-121,0.9267399267399268,0.59617903930131,2.362904,1.0167985
Grid2,23.101248,1.7165765,4.498171394772954e-118,2.5180388620322763e-115,0.9853479853479854,0.8080786026200873,2.8147142,1.7532853
Cntnap5c,22.857128,2.2492306,1.2413397313444662e-115,6.807101751270573e-113,0.891941391941392,0.4995269286754003,1.8166668,0.73405516
Thrb,22.636261,1.7391661,1.9053986728483248e-113,1.0038835752830292e-110,0.9652014652014652,0.6866812227074236,2.0367775,1.0975162
Cit,22.350664,2.0070093,1.1895903064500134e-110,5.919313247094788e-108,0.8406593406593407,0.42587336244541485,1.1505395,0.4300633
Cntnap2,22.251078,1.7667974,1.1011379701790537e-109,5.3795595015838493e-107,0.9981684981684982,0.9124454148471616,3.9394066,2.7604523
Vwc2,22.109528,3.4364297,2.559324265428668e-108,1.2280186252155054e-105,0.6538461538461539,0.1510553129548763,0.92078596,0.13067335
Robo1,22.0179,1.6665012,1.9404763612247072e-107,8.989758590708254e-105,0.9688644688644689,0.7884643377001456,2.7691836,1.7418894
Pde5a,21.415054,4.174551,9.673206449098132e-102,4.405407750631641e-99,0.5934065934065934,0.09657933042212519,0.8692201,0.07390173
Cntn6,21.28525,2.169939,1.555139313776246e-100,6.850261206748808e-98,0.8095238095238095,0.4001819505094614,1.3823678,0.50873
Rgs12,21.21473,3.68858,6.98278775729908e-100,2.940349908189738e-97,0.6098901098901099,0.13569868995633189,0.8077529,0.09202663
Nbea,21.175556,1.0748839,1.6047470374401688e-99,6.633777368618052e-97,0.9945054945054945,0.904330422125182,3.2295485,2.5273557
Kcnq5,21.124805,1.8018745,4.705568821170937e-99,1.915736882194895e-96,0.9871794871794872,0.7771106259097526,2.9192884,1.7962656
Ablim1,20.906027,1.5273242,4.719301494546627e-97,1.892651211320416e-94,0.9010989010989011,0.6067321688500728,1.3899634,0.71582127
Maf,20.875383,2.5800104,8.964699456339813e-97,3.5423746234095705e-94,0.6923076923076923,0.2190684133915575,0.9822159,0.24635357
Ttc28,20.76118,1.7984976,9.714949828806824e-96,3.7291528842862767e-93,0.8186813186813187,0.4581513828238719,1.1150861,0.46327648
Dner,20.740948,1.7538849,1.4797867337303114e-95,5.600263314835699e-93,0.8424908424908425,0.5377729257641921,1.3458073,0.61109537
Peg3,20.737251,1.436069,1.5979791252248194e-95,5.963569318720958e-93,0.8809523809523809,0.6299490538573508,1.3576463,0.7260839
Slc6a1,20.709162,2.0520253,2.8639859508048355e-95,1.054182226001725e-92,0.7527472527472527,0.30411208151382824,0.8949415,0.2993517
Rims2,20.634089,1.310896,1.35678668510582e-94,4.926602463350457e-92,0.989010989010989,0.8045851528384279,2.5144238,1.7189524
Zbtb16,20.381016,1.6533406,2.4649012961096782e-92,8.601545172268449e-90,0.8681318681318682,0.5723435225618632,1.3758491,0.66294265
Cacna1b,20.344212,1.3969523,5.224501845113448e-92,1.7997739048486965e-89,0.8956043956043956,0.6467612809315866,1.4904515,0.8354817
Rev3l,20.115238,1.2631111,5.427750554690287e-90,1.8005389803028148e-87,0.9468864468864469,0.7375181950509462,1.651601,1.0138842
Npas1,20.108404,5.058613,6.229693173529738e-90,2.0413640923505375e-87,0.5274725274725275,0.03922852983988355,0.5925608,0.023973482
Sobp,20.043928,1.3183,2.280364547017942e-89,7.294451830758584e-87,0.9468864468864469,0.7343522561863173,1.8597695,1.1551056
