names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Lymphoid NN (for_DEGs),mean_expr_Rest (for_DEGs)
Cacnb4,-4.032181,-1.5984968,5.52616499376416e-05,0.0008729456401084242,0.2926829268292683,0.7702402294729294,0.6859033,1.3824252
Lyst,-4.034216,-1.1135672,5.478490375323939e-05,0.0008659237434409072,0.17073170731707318,0.634349229114378,0.39945704,0.72389925
Mapre3,-4.0346327,-1.0409884,5.4687766115042215e-05,0.0008648971603950467,0.07317073170731707,0.4710290426676228,0.19165662,0.3609447
Slc8a2,-4.03504,-2.7495964,5.4593045033190885e-05,0.0008643356188625569,0.024390243902439025,0.39759770527070637,0.04908172,0.29141757
Acsl4,-4.0350785,-1.0703024,5.458403208872568e-05,0.0008643356188625569,0.0975609756097561,0.5082466833990678,0.23624545,0.44442064
Mfsd6,-4.038577,-1.2704339,5.377639338688299e-05,0.0008524906727466348,0.07317073170731707,0.47052707063463606,0.16971448,0.3689418
Ly6h,-4.0393333,-0.95651734,5.360338355094879e-05,0.000850249655262098,0.12195121951219512,0.5466833990677662,0.32217425,0.55254996
Ttc7b,-4.040477,-1.2693132,5.334265282400137e-05,0.0008466137515539971,0.1951219512195122,0.6768017210469702,0.42823076,0.82789665
Ube2r2,-4.0407677,-1.0225385,5.3276557197649954e-05,0.0008460644751187083,0.14634146341463414,0.584510577267838,0.31087998,0.5543074
Cul9,-4.0408936,-1.463613,5.324793986560756e-05,0.0008460644751187083,0.04878048780487805,0.4344209394048046,0.12438706,0.31137866
Ints6l,-4.0409417,-1.0263661,5.323693707827109e-05,0.0008460644751187083,0.0975609756097561,0.5108282538544281,0.25457355,0.464058
Mgat4a,-4.041504,-1.8892716,5.310946207922717e-05,0.0008449089674771072,0.04878048780487805,0.43287916816063104,0.10618233,0.34712538
Tardbp,-4.0441113,-1.0954622,5.252201396876302e-05,0.0008360583621686388,0.14634146341463414,0.587056292577985,0.28534418,0.5339292
Tsga10,-4.045749,-1.0987083,5.215610312196259e-05,0.0008307258392929075,0.0975609756097561,0.5113660810326282,0.2319557,0.44410944
Cwc22,-4.047445,-27.992464,5.177974805459978e-05,0.0008252205398737223,0.0,0.36522050914306203,0.0,0.23668095
Psme4,-4.0483465,-1.2738878,5.158079096071327e-05,0.0008225375982874573,0.21951219512195122,0.7309429903191108,0.5231569,0.97911006
Cep70,-4.048724,-2.2806113,5.149757314086722e-05,0.0008216982127643125,0.024390243902439025,0.3993904625313732,0.061929934,0.27034888
Zfp148,-4.051254,-1.4270394,5.094392036323688e-05,0.0008133470826857843,0.24390243902439024,0.7484044460380065,0.48573634,0.98641104
Cntn4,-4.0535703,-1.7143946,5.0441887986105484e-05,0.0008058106600396281,0.21951219512195122,0.6521333811401936,0.5586522,1.2400138
Med14,-4.0537443,-1.0833273,5.040426851045808e-05,0.0008056886941558646,0.12195121951219512,0.5515238436715668,0.25944066,0.4871274
Abhd2,-4.056332,-1.9662559,4.984935967904334e-05,0.0007972930324856515,0.04878048780487805,0.43467192542129796,0.09470347,0.32796878
Anks3,-4.056497,-2.2650883,4.981422520785857e-05,0.0007972056172335675,0.04878048780487805,0.43399067766224453,0.0726324,0.3090458
Phyhipl,-4.0565743,-1.2402434,4.97976994623577e-05,0.0007972056172335675,0.07317073170731707,0.47267837934743634,0.20463417,0.4294682
Agfg2,-4.057379,-28.0685,4.9626551221438607e-05,0.0007951493329278803,0.0,0.36611688777339546,0.0,0.24802183
Myh10,-4.0581636,-0.70273733,4.946006472746799e-05,0.0007929546176772464,0.12195121951219512,0.5538544281104338,0.34248087,0.50968665
Foxj3,-4.0584545,-1.0310018,4.93985375289471e-05,0.0007924410169569007,0.12195121951219512,0.5523126568662603,0.26743597,0.48645404
Pcdh10,-4.059705,-1.5347757,4.913479636871974e-05,0.0007886809906974309,0.0975609756097561,0.5020795984223736,0.20649266,0.5095568
Etv1,-4.0604706,-1.9589659,4.897394009688538e-05,0.0007865689004203886,0.07317073170731707,0.4664037289351022,0.15691213,0.50712854
Cnot7,-4.060819,-1.5237652,4.890080419839065e-05,0.0007858640004849023,0.07317073170731707,0.47231982789530297,0.1393556,0.35765123
Phka2,-4.0640755,-1.6239855,4.822317728225782e-05,0.0007759022596253099,0.07317073170731707,0.47034779490856937,0.13394593,0.36588
C78859,-4.064754,-2.8645303,4.808313000510423e-05,0.0007741124644920016,0.024390243902439025,0.40071710290426676,0.042334147,0.27378923
Map2k4,-4.0661206,-1.3885043,4.780220453637877e-05,0.0007700511006549745,0.21951219512195122,0.7192900681247759,0.470745,0.94543993
Lrrn3,-4.0661983,-2.257674,4.778631224370131e-05,0.0007700511006549745,0.04878048780487805,0.4330225887414844,0.0799739,0.33515722
Rpgrip1l,-4.066731,-2.2081902,4.767718826030053e-05,0.0007689592128176922,0.024390243902439025,0.4011115095016135,0.06754424,0.27982756
Atpaf1,-4.068505,-28.019844,4.731580139948059e-05,0.0007635889391015276,0.0,0.36712083183936894,0.0,0.24071144
C2cd5,-4.069406,-1.2625831,4.7133142626490145e-05,0.0007610982826765565,0.1951219512195122,0.6908927931158121,0.45662823,0.87068266
Phtf1,-4.0704527,-1.6784675,4.6921861825320784e-05,0.0007581421691198855,0.0975609756097561,0.5068483327357476,0.14863774,0.41406187
Emc2,-4.0711503,-1.4125758,4.6781507205007654e-05,0.0007563291808655569,0.07317073170731707,0.47321620652563645,0.15497677,0.3689755
Qki,-4.071606,-1.5907618,4.669010167866303e-05,0.0007553058591846331,0.36585365853658536,0.8304051631409107,0.8372505,1.598551
Frmd3,-4.0716834,-28.269354,4.6674560166949204e-05,0.0007553058591846331,0.0,0.36740767300107563,0.0,0.2803069
